"Hour";"Subscriber Country Name";"Subscriber Operator Name";"Origin Operator Name";"SUM Transactions";"# Successes";"Prefix"
"2016/12/12 09:00:00";"Hungary (Republic of)";"T-MOBILE (HU)";"MOVISTAR (PE)";"5";"1";"21630"
"2016/12/12 09:00:00";"Guatemala (Republic of)";"TELEFONICA GUATEMALA (GT)";"MOVISTAR (PE)";"20";"2";"70403"
"2016/12/12 09:00:00";"El Salvador (Republic of)";"MOVISTAR (SV)";"MOVISTAR (PE)";"2";"1";"70604"
"2016/12/12 09:00:00";"United Kingdom of Great Britain and Northern Ireland";"O2 (GB)";"MOVISTAR (PE)";"77";"26";"23410"
"2016/12/12 09:00:00";"United Kingdom of Great Britain and Northern Ireland";"H3G (GB)";"MOVISTAR (PE)";"1";"1";"23420"
"2016/12/12 09:00:00";"United Kingdom of Great Britain and Northern Ireland";"T-MOBILE UK (GB)";"MOVISTAR (PE)";"2";"2";"23430"
"2016/12/12 09:00:00";"Australia (including Christmas Island and Cocos-Keeling Islands)";"TELSTRA TELECOM (AU)";"MOVISTAR (PE)";"33";"16";"50501"
"2016/12/12 10:00:00";"Chile";"VTR (CL)";"MOVISTAR (PE)";"1";"1";"73008"
"2016/12/12 10:00:00";"Italy";"VODAFONE (IT)";"MOVISTAR (PE)";"7";"5";"22210"
"2016/12/12 10:00:00";"Spain";"MOVISTAR (ES)";"MOVISTAR (PE)";"31769";"11271";"21407"
"2016/12/12 10:00:00";"Spain";"VODAFONE (ES)";"MOVISTAR (PE)";"16";"9";"21401"
"2016/12/12 10:00:00";"Brazil";"TIM (RIO NORTE) (BR)";"MOVISTAR (PE)";"5";"4";"72402"
"2016/12/12 10:00:00";"Brazil";"TIM (CENTRO SUL) (BR)";"MOVISTAR (PE)";"3";"2";"72404"
"2016/12/12 10:00:00";"Canada";"TELUS (CA)";"MOVISTAR (PE)";"34";"17";"302220"
"2016/12/12 10:00:00";"Canada";"ROGERS WIRELESS (CA)";"MOVISTAR (PE)";"11";"11";"302720"
"2016/12/12 10:00:00";"France";"BOUYGUES TELECOM (FR)";"MOVISTAR (PE)";"4";"3";"20820"
"2016/12/12 10:00:00";"Mexico";"NEXTEL (MX)";"MOVISTAR (PE)";"4";"2";"33409"
"2016/12/12 10:00:00";"Belgium";"PROXIMUS (BE)";"MOVISTAR (PE)";"19";"8";"20601"
"2016/12/12 10:00:00";"New Zealand";"TELECOM (NZ)";"MOVISTAR (PE)";"5";"2";"53005"
"2016/12/12 10:00:00";"Argentine Republic";"PERSONAL (AR)";"MOVISTAR (PE)";"644";"174";"72234"
"2016/12/12 10:00:00";"Russian Federation";"MTS (RU)";"MOVISTAR (PE)";"5";"2";"25001"
"2016/12/12 10:00:00";"Russian Federation";"MEGAFON (RU)";"MOVISTAR (PE)";"19";"3";"25002"
"2016/12/12 10:00:00";"Russian Federation";"VIMPELCOM (RU)";"MOVISTAR (PE)";"1";"1";"25099"
"2016/12/12 10:00:00";"India (Republic of)";"BHARTI AIRTEL (Punjab) (IN)";"MOVISTAR (PE)";"1";"1";"40422"
"2016/12/12 10:00:00";"India (Republic of)";"VEMSL VODAFONE  (DELHI) (IN)";"MOVISTAR (PE)";"5";"2";"40411"
"2016/12/12 10:00:00";"Panama (Republic of)";"TELEFONICA PANAMA (PA)";"MOVISTAR (PE)";"19";"4";"714020"
"2016/12/12 10:00:00";"Poland (Republic of)";"P4 (PL)";"MOVISTAR (PE)";"2";"1";"26006"
"2016/12/12 10:00:00";"Bolivia (Republic of)";"NUEVATEL (BO)";"MOVISTAR (PE)";"125";"64";"73601"
"2016/12/12 10:00:00";"Netherlands (Kingdom of the)";"VODAFONE (NL)";"MOVISTAR (PE)";"3861";"1154";"20404"
"2016/12/12 10:00:00";"Netherlands (Kingdom of the)";"T-MOBILE NL (NL)";"MOVISTAR (PE)";"18";"8";"20416"
"2016/12/12 10:00:00";"Germany (Federal Republic of)";"O2 (DE)";"MOVISTAR (PE)";"124";"33";"26207"
"2016/12/12 10:00:00";"Uruguay (Eastern Republic of)";"MOVISTAR (UY)";"MOVISTAR (PE)";"39";"9";"74807"
"2016/12/12 10:00:00";"United Kingdom of Great Britain and Northern Ireland";"T-MOBILE UK (GB)";"MOVISTAR (PE)";"7";"5";"23430"
